hydro_year,Flow_m3_sec,rank,decile,station_id
2019,0.016,14,10,8140
2006,0.5315668549905838,18,10,8146
2007,2.379,17,10,8146
2008,4.144,16,9,8146
2009,69.425,6,3,8146
2010,4.752,15,9,8146
2011,66.65,7,4,8146
2012,13.8,13,8,8146
2013,26.3,10,6,8146
2014,19.16,12,7,8146
2015,64.985,8,5,8146
2016,118.1,4,2,8146
2017,52.94,9,5,8146
2018,71.645,5,3,8146
2019,142.2,3,2,8146
2020,212.0,1,1,8146
2021,186.0,2,1,8146
2022,7.86,14,8,8146
2023,22.64,11,6,8146
2005,0.3,18,10,8155
2006,1.2,13,8,8155
2007,1.27,12,7,8155
2008,0.722,15,9,8155
2009,0.606,16,9,8155
2010,2.804,8,5,8155
2011,1.34,11,6,8155
2012,0.606,16,9,8155
2013,1.2,13,8,8155
2014,2.572,9,5,8155
2015,7.518,4,2,8155
2016,11.21,2,1,8155
2017,4.044,6,3,8155
2018,7.933333333333333,3,2,8155
2020,2.34,10,6,8155
2021,16.5,1,1,8155
2022,5.655,5,3,8155
2023,3.772,7,4,8155
