site_id,basin_area_km2,covered_area_km2,coverage_frac,covered
10023000,147.2331578768326,147.2331578768325,0.9999999999999994,True
10172700,259.91624806154215,259.91624806154226,1.0000000000000004,True
10173450,281.6055970641661,281.60559706416575,0.9999999999999988,True
10205030,150.73013953233254,150.73013953233252,0.9999999999999998,True
10234500,238.6797711536501,238.67977115365022,1.0000000000000004,True
10258500,285.6136155782747,285.61361557827473,1.0000000000000002,True
10259200,284.831132640608,284.83113264060796,0.9999999999999998,True
10263500,310.1009882695751,310.10098826957534,1.0000000000000007,True
10396000,968.9166167373213,968.9166167373221,1.0000000000000009,True
11124500,192.4454378687486,192.44543786874854,0.9999999999999997,True
11143000,121.13089163376236,121.13089163376232,0.9999999999999997,True
11148900,385.84084981300015,385.8408498130003,1.0000000000000004,True
11151300,648.306366161408,648.3063661614078,0.9999999999999997,True
11162500,119.26500095332543,119.2650009533255,1.0000000000000007,True
11176400,336.5453025255566,336.5453025255566,1.0,True
11224500,325.20051249102664,325.2005124910267,1.0000000000000002,True
11253310,235.90815836538545,235.9081583653854,0.9999999999999998,True
11264500,471.9810935030481,471.98109350304844,1.0000000000000007,True
11266500,836.0707171605776,836.0707171605771,0.9999999999999994,True
11274500,530.0805301140102,530.0805301140098,0.9999999999999991,True
11381500,340.8671013314642,340.8671013314641,0.9999999999999997,True
11383500,634.1320858497477,634.1320858497487,1.0000000000000016,True
11451100,155.19196098978387,155.1919609897839,1.0000000000000002,True
11468500,273.55223207711475,273.5522320771145,0.9999999999999992,True
11478500,574.9382107379979,574.9382107379981,1.0000000000000004,True
11480390,243.3466892520975,243.34668925209738,0.9999999999999996,True
11481200,106.76157429418929,106.76157429418926,0.9999999999999998,True
11482500,724.6482505254892,724.6482505254895,1.0000000000000004,True
11523200,385.0804137226024,385.0804137226025,1.0000000000000002,True
12010000,142.75863735825436,142.75863735825436,1.0,True
12013500,340.89316653392444,340.8931665339244,0.9999999999999998,True
12020000,296.37938397973113,296.37938397973113,1.0,True
12025000,410.4033405025449,410.403340502545,1.0000000000000002,True
12025700,105.56274753447289,105.56274753447285,0.9999999999999996,True
12035000,769.1744194183157,769.1744194183161,1.0000000000000007,True
12041200,662.5125543583096,662.5125543583096,1.0,True
12043000,348.5186202785621,348.51862027856225,1.0000000000000004,True
12048000,408.39958941825404,408.39958941825375,0.9999999999999993,True
12054000,178.93756302392248,178.9375630239223,0.999999999999999,True
12056500,147.28837170020896,147.28837170020896,1.0,True
12082500,359.67429221114224,359.6742922111422,0.9999999999999999,True
12092000,241.21487914697101,241.21487914697093,0.9999999999999997,True
12095000,232.8824639867929,232.8824639867929,1.0,True
12115000,111.03391260687415,111.03391260687414,0.9999999999999999,True
12141300,404.10522965914106,404.1052296591408,0.9999999999999993,True
12143600,165.13190990849023,165.1319099084901,0.9999999999999991,True
12144000,212.93324835011637,212.9332483501162,0.9999999999999992,True
12167000,691.8243347018746,691.8243347018735,0.9999999999999983,True
12175500,274.0011397351441,274.00113973514436,1.000000000000001,True
12186000,398.7505002662293,398.75050026622915,0.9999999999999996,True
12381400,148.68481220737496,148.68481220737496,1.0,True
12390700,469.77107973494765,469.7710797349475,0.9999999999999997,True
12411000,866.0628612881643,866.0628612881637,0.9999999999999993,True
12451000,830.1918156442817,830.1918156442814,0.9999999999999996,True
12488500,206.30391961094867,206.3039196109489,1.000000000000001,True
13011500,405.3475757153212,405.347575715321,0.9999999999999994,True
13011900,848.1900228211402,848.1900228211392,0.9999999999999988,True
13240000,126.19447700290749,126.19447700290743,0.9999999999999996,True
13310700,854.6608265309318,854.6608265309308,0.9999999999999988,True
13313000,565.275114263583,565.2751142635838,1.0000000000000013,True
13331500,619.018680437121,619.0186804371215,1.0000000000000007,True
14020000,343.0810473429334,343.0810473429333,0.9999999999999997,True
14096850,384.4409592989874,384.44095929898725,0.9999999999999996,True
14137000,676.3730200697145,676.3730200697142,0.9999999999999997,True
14158500,123.06201360937199,123.06201360937199,1.0,True
14166500,238.13824933212905,238.13824933212913,1.0000000000000004,True
14185900,258.3703143243182,258.3703143243182,1.0,True
14216500,350.0699319670561,350.06993196705594,0.9999999999999996,True
14222500,329.2946626720679,329.29466267206755,0.999999999999999,True
14236200,364.117155043575,364.11715504357477,0.9999999999999993,True
14305500,526.4593962668989,526.4593962668989,1.0,True
14306500,860.8672662511927,860.867266251193,1.0000000000000002,True
14308990,171.3574914233957,171.35749142339571,1.0000000000000002,True
14309500,226.2026750522178,226.20267505221773,0.9999999999999997,True
14316700,588.1101234765044,588.1101234765046,1.0000000000000002,True
14325000,444.9687641168162,444.9687641168163,1.0000000000000002,True
14400000,703.3456630007566,703.3456630007565,0.9999999999999999,True
