basin,hydro_year,max_date,max_discharge
30118,2011,15/03/2012,20216.93
30118,2012,20/12/2012,70873.31
30120,2010,10/03/2011,3292900.71
30120,2011,17/02/2012,2730822.8
30120,2012,07/01/2013,4758499.02
30122,2010,10/03/2011,2589595.62
30122,2011,01/03/2012,2653817.7
30122,2012,07/01/2013,5348702.25
30124,2010,26/02/2011,318243
30124,2011,16/03/2012,774941.03
30124,2012,08/01/2013,692979.03
30125,2010,28/04/2011,335711.52
30125,2011,01/10/2011,81786.24
30125,2012,23/04/2013,464151.36
30128,2010,27/02/2011,1206184.43
30128,2011,16/03/2012,1869617.3
30128,2012,07/01/2013,2250688.83
30131,2010,20/04/2011,606920.81
30131,2011,29/03/2012,644128.37
30131,2012,12/01/2013,805150.32
30136,2010,10/03/2011,6692507.1
30136,2011,16/03/2012,5633206.92
30136,2012,07/01/2013,9200154.14
30145,2010,10/03/2011,383201.85
30145,2011,01/03/2012,384755.97
30145,2012,07/01/2013,405148.95
30154,2012,07/01/2013,1745212.67
30155,2010,27/02/2011,327470.91
30155,2011,16/03/2012,289105.8
30155,2012,07/01/2013,473325.6
30165,2010,10/03/2011,256496.4
30165,2011,01/03/2012,325537.14
30165,2012,07/01/2013,1115663.49
30170,2010,12/12/2010,35219.15
30170,2011,01/03/2012,146057.01
30170,2012,07/01/2013,253365.11
30175,2010,10/03/2011,7538401.87
30175,2011,02/03/2012,8529131.28
30175,2012,07/01/2013,11479727.4
31110,2010,13/12/2010,226298.88
31110,2011,01/03/2012,569639.78
31110,2012,07/01/2013,3042149.68
31115,2010,11/03/2011,79866.21
31115,2011,01/03/2012,117481.49
31115,2012,07/01/2013,824777.9
31155,2010,10/03/2011,3346830.45
31155,2011,01/03/2012,3336329.81
31155,2012,07/01/2013,6001422.96
31160,2010,10/03/2011,1298785.5
31160,2011,01/03/2012,1787709.84
31160,2012,07/01/2013,3265729.2
31163,2010,11/03/2011,787893.69
31163,2011,02/03/2012,571394.4
31163,2012,08/01/2013,1445050.71
31164,2012,08/01/2013,577252.67
31165,2010,21/02/2011,385136.4
31165,2011,02/03/2012,509919.65
31165,2012,08/01/2013,1363928.39
31166,2012,08/01/2013,347455.41
32180,2012,22/08/2013,3196.8
34160,2010,21/02/2011,1423826.6
34160,2011,02/03/2012,7711646.25
34160,2012,08/01/2013,13170327.21
34190,2012,02/09/2013,255536.64
35150,2010,10/03/2011,455240.43
35150,2011,24/04/2012,246.24
35150,2012,27/10/2012,172.8
38175,2010,13/12/2010,561159.32
38175,2011,15/01/2012,205813.1
38175,2012,08/01/2013,1765933.4
46105,2011,30/09/2012,171951.9
46105,2012,14/01/2013,8860800.96
48113,2012,06/02/2013,3643.86
48125,2010,21/02/2011,12251.19
48125,2011,02/03/2012,113232.43
48125,2012,09/01/2013,148409.81
48130,2010,13/12/2010,9640.56
48130,2011,02/03/2012,239189.33
48130,2012,09/01/2013,142362.03
48133,2012,10/01/2013,5996
48156,2010,02/02/2011,21013.07
48156,2011,18/02/2012,163878.14
48156,2012,02/02/2013,175878.51
48185,2010,01/02/2011,28914.13
48185,2011,22/01/2012,12007.37
48185,2012,09/01/2013,18060.3
48188,2010,01/02/2011,68137.5
48188,2011,22/06/2012,76359.9
48188,2012,09/01/2013,165964.14
48192,2010,01/02/2011,461229.54
48192,2011,23/01/2012,53023.11
48192,2012,09/01/2013,1116067.02
55106,2010,04/04/2011,68986.14
55106,2011,25/02/2012,12868.98
55106,2012,10/01/2013,165079.38
55109,2010,04/04/2011,75714.06
55109,2011,25/02/2012,38813.67
55109,2012,01/02/2013,257092.66
55140,2010,04/04/2011,258278.63
55140,2012,02/02/2013,671012.05
55165,2011,22/06/2012,62385
55165,2012,10/01/2013,125405.79
55170,2012,31/01/2013,8112.3
55193,2010,05/04/2011,23628.56
55193,2011,23/06/2012,361.8
55193,2012,02/02/2013,135700.43
56140,2010,30/04/2011,59684.94
56140,2011,30/09/2012,243693.44
56140,2012,09/01/2013,171825.21
56150,2011,30/09/2012,55929.73
56150,2012,27/01/2013,222380.34
56164,2011,30/09/2012,11.02
56164,2012,27/01/2013,5125.9
57125,2010,04/04/2011,260327.57
57125,2011,30/09/2012,43531.93
57125,2012,01/10/2012,5171.22
57130,2010,04/04/2011,303931.67
57130,2011,30/09/2012,158.97
57130,2012,01/10/2012,5.4
57160,2011,30/09/2012,139173.73
57160,2012,01/10/2012,3077.87
57165,2010,01/05/2011,75752.11
57165,2011,30/09/2012,125157.46
57165,2012,01/10/2012,276387.47
57180,2010,30/04/2011,22989.18
57180,2012,01/02/2013,2973.88
57190,2010,01/05/2011,29960.43
57190,2012,01/10/2012,131052.06
58150,2010,04/04/2011,182187
58150,2012,01/10/2012,237209.07
58175,2010,04/04/2011,602506.04
58175,2011,30/09/2012,206414.27
58175,2012,01/10/2012,447109.29
59180,2012,02/02/2013,324611.96
59185,2012,27/01/2013,360200.91
59195,2012,25/01/2013,248650.07
60105,2010,04/04/2011,36502.2
60105,2012,01/02/2013,20575.96
60110,2010,04/04/2011,65925
60110,2012,02/02/2013,706776.58
60140,2012,06/02/2013,323.4
60150,2012,18/11/2012,16739.64
60160,2012,06/02/2013,78591.45
60170,2012,06/02/2013,16803.6
60190,2012,21/10/2012,93124.98
