STAID,DRAIN_SQKM,BFI_AVE,area_bin,BFI_bin,LAT_GAGE,LNG_GAGE,STATE,HUC02,request_success,request_http_status,request_error,usgs_site_valid,has_parameter_00060,returned_observation_count,first_timestamp_utc,last_timestamp_utc,native_timestep_minutes,native_timestep_share,inferred_timestep_mode,hourly_values_count,expected_hourly_count,hourly_completeness_pct,units_original,units_output,unit_conversion_applied,completeness_class,preliminary_status,rbi,max_hourly_dqdt_m3s_per_hr,normalized_max_hourly_dqdt,q95_event_count,q99_event_count,notes,probe_stratum_x,probe_rank_in_stratum_x,probe_order,probe_stratum_y,probe_rank_in_stratum_y,probe_stratum,probe_rank_in_stratum
06889160,128.9619,15.52356,100-1000 km²,<=20,39.4631449,-95.9505944,KS,10L,True,200,,True,True,35055,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9986592115022537,sub-hourly,8777,8784,99.92,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.16333730622238563,46.99180691942399,75.11462085815013,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | <=20,3.0
06918493,39.7692,34.26159,10-100 km²,30-40,37.266389,-93.249472,MO,10L,True,200,,True,True,34893,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9965894760976728,sub-hourly,8768,8784,99.818,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.09784503320599647,36.677395548288004,62.97278602149952,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 30-40,2.0
06935997,5.5152,18.0,1-10 km²,<=20,38.848472,-90.286083,MO,10L,True,200,,True,True,103247,2023-10-01T05:00:00+00:00,2024-10-01T04:55:00+00:00,5.0,0.9980822501598124,sub-hourly,8759,8784,99.715,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.2275198446857621,6.4092822523776,243.16096070376068,438.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | <=20,4.0
07019220,11.1465,25.0,10-100 km²,20-30,38.511167,-90.444278,MO,07,True,200,,True,True,90636,2023-10-01T05:00:00+00:00,2024-10-01T04:55:00+00:00,5.0,0.8982401941854692,sub-hourly,8594,8784,97.837,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.557928578677684,61.91864646157964,297.2453523180149,430.0,86.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 20-30,3.0
07048480,2.232,37.0,1-10 km²,30-40,36.057024,-94.175483,AR,11,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,1-10 km² | 30-40,2.0
07322500,56.5533,13.38735,10-100 km²,<=20,35.52227139,-99.5303769,OK,11,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | <=20,2.0
07329500,522.531,29.8228,100-1000 km²,20-30,34.74341194,-97.4053039,OK,11,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 20-30,2.0
07366200,437.8437,26.73485,100-1000 km²,20-30,32.92930641,-92.6329305,LA,08,True,200,,True,True,34941,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9991127647395536,sub-hourly,8754,8784,99.658,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.02485395119466826,28.812391407359996,4.205099743099735,438.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 20-30,3.0
08023400,210.9654,13.64128,100-1000 km²,<=20,31.8751667,-93.65851499,LA,12,True,200,,True,True,34688,2023-10-01T06:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9979242944042437,sub-hourly,8713,8784,99.192,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.04453462338554795,22.724269390079996,4.799673638948411,436.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | <=20,4.0
08044000,864.2479,10.69808,100-1000 km²,<=20,33.23178218,-97.6947538,TX,12,True,200,,True,True,34597,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9952595675800671,sub-hourly,8725,8784,99.328,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.04838748635392252,38.65249559808001,32.171228973609765,438.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | <=20,2.0
08074760,42.1884,17.74584,10-100 km²,<=20,29.70912,-95.583,TX,12,True,200,,True,True,35119,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.999857622871462,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.08571698898692823,35.665068282624006,21.288802491637156,440.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | <=20,3.0
08133900,67.54951,25.85953,10-100 km²,20-30,31.646541,-100.690658,TX,12,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | 20-30,2.0
